Started at: 10:32:46

📌 Processing: /DATA/rohan_kirti/country/pakistan/HBQ/Pakistan_HBQ.xlsx
✅ Saved → HBQ | Malakhra | Row 0
✅ Saved → HBQ | Chaturanga | Row 42
✅ Saved → HBQ | Chaturanga | Row 43
✅ Saved → HBQ | Chaturanga | Row 44
✅ Saved → HBQ | Chaturanga | Row 45
✅ Saved → HBQ | Chaturanga | Row 46
✅ Saved → HBQ | Chaturanga | Row 47
✅ Saved → HBQ | Chaturanga | Row 48
✅ Saved → HBQ | Chaturanga | Row 49
✅ Saved → HBQ | Chaturanga | Row 50
✅ Saved → HBQ | Chaturanga | Row 51
✅ Saved → HBQ | Chaturanga | Row 52
✅ Saved → HBQ | Chaturanga | Row 53
✅ Saved → HBQ | Chaturanga | Row 54
✅ Saved → HBQ | Chaturanga | Row 55
✅ Saved → HBQ | Chaturanga | Row 56
✅ Saved → HBQ | Chaturanga | Row 57
✅ Saved → HBQ | Chaturanga | Row 58
✅ Saved → HBQ | Chaturanga | Row 59
✅ Saved → HBQ | Chaturanga | Row 60
✅ Saved → HBQ | Chaturanga | Row 61
✅ Saved → HBQ | Chaturanga | Row 62
✅ Saved → HBQ | Chaturanga | Row 63
✅ Saved → HBQ | Chaturanga | Row 64
✅ Saved → HBQ | Chaturanga | Row 65
✅ Saved → HBQ | Chaturanga | Row 66
✅ Saved → HBQ | Chaturanga | Row 67
✅ Saved → HBQ | Chaturanga | Row 68
✅ Saved → HBQ | Chaturanga | Row 69
✅ Saved → HBQ | Chaturanga | Row 70
✅ Saved → HBQ | Chaturanga | Row 71
✅ Saved → HBQ | Chaturanga | Row 72
✅ Saved → HBQ | Chaturanga | Row 73
✅ Saved → HBQ | Chaturanga | Row 74
✅ Saved → HBQ | Chaturanga | Row 75
✅ Saved → HBQ | Chaturanga | Row 76
✅ Saved → HBQ | Chaturanga | Row 77
✅ Saved → HBQ | Chaturanga | Row 78
✅ Saved → HBQ | Chaturanga | Row 79
✅ Saved → HBQ | Chaturanga | Row 80
✅ Saved → HBQ | Chaturanga | Row 81
✅ Saved → HBQ | Chaturanga | Row 82
✅ Saved → HBQ | Chaturanga | Row 83
✅ Saved → HBQ | Chaturanga | Row 84
✅ Saved → HBQ | Chaturanga | Row 85
✅ Saved → HBQ | Chaturanga | Row 86
✅ Saved → HBQ | Chaturanga | Row 87
✅ Saved → HBQ | Chaturanga | Row 88
✅ Saved → HBQ | Chaturanga | Row 89
✅ Saved → HBQ | Chaturanga | Row 90
✅ Saved → HBQ | Chaturanga | Row 91
✅ Saved → HBQ | Chaturanga | Row 92
✅ Saved → HBQ | Chaturanga | Row 93
✅ Saved → HBQ | Chaturanga | Row 94
✅ Saved → HBQ | Chaturanga | Row 95
✅ Saved → HBQ | Chaturanga | Row 96
✅ Saved → HBQ | Chaturanga | Row 97
✅ Saved → HBQ | Chaturanga | Row 98
✅ Saved → HBQ | Chaturanga | Row 99
✅ Saved → HBQ | Chaturanga | Row 100
✅ Saved → HBQ | Chaturanga | Row 101
✅ Saved → HBQ | Chaturanga | Row 102
✅ Saved → HBQ | Chaturanga | Row 103
✅ Saved → HBQ | Chaturanga | Row 104
✅ Saved → HBQ | Chaturanga | Row 105
✅ Saved → HBQ | Chaturanga | Row 106
✅ Saved → HBQ | Chaturanga | Row 107
✅ Saved → HBQ | Chaturanga | Row 108
✅ Saved → HBQ | Chaturanga | Row 109
✅ Saved → HBQ | Chaturanga | Row 110
✅ Saved → HBQ | Chaturanga | Row 111
✅ Saved → HBQ | Chaturanga | Row 112
✅ Saved → HBQ | Chaturanga | Row 113
✅ Saved → HBQ | Chaturanga | Row 114
✅ Saved → HBQ | Chaturanga | Row 115
✅ Saved → HBQ | Chaturanga | Row 116
✅ Saved → HBQ | Chaturanga | Row 117
✅ Saved → HBQ | Chaturanga | Row 118
✅ Saved → HBQ | Chaturanga | Row 119
✅ Saved → HBQ | Chaturanga | Row 120
✅ Saved → HBQ | Chaturanga | Row 121
✅ Saved → HBQ | Chaturanga | Row 122
✅ Saved → HBQ | Chaturanga | Row 123
✅ Saved → HBQ | Chaturanga | Row 124
✅ Saved → HBQ | Chaturanga | Row 125
✅ Saved → HBQ | Chaturanga | Row 126
✅ Saved → HBQ | Chaturanga | Row 127
✅ Saved → HBQ | Chaturanga | Row 128
✅ Saved → HBQ | Chaturanga | Row 129
✅ Saved → HBQ | Chaturanga | Row 130
✅ Saved → HBQ | Chaturanga | Row 131
✅ Saved → HBQ | Chaturanga | Row 132
✅ Saved → HBQ | Chaturanga | Row 133
✅ Saved → HBQ | Chaturanga | Row 134
✅ Saved → HBQ | Chaturanga | Row 135
✅ Saved → HBQ | Chaturanga | Row 136
✅ Saved → HBQ | Chaturanga | Row 137
✅ Saved → HBQ | Chaturanga | Row 138
✅ Saved → HBQ | Chaturanga | Row 139
✅ Saved → HBQ | Chaturanga | Row 140
✅ Saved → HBQ | Chaturanga | Row 141
✅ Saved → HBQ | Chaturanga | Row 142
✅ Saved → HBQ | Chaturanga | Row 143
✅ Saved → HBQ | Chaturanga | Row 144
✅ Saved → HBQ | Chaturanga | Row 145
✅ Saved → HBQ | Chaturanga | Row 146
✅ Saved → HBQ | Chaturanga | Row 147
✅ Saved → HBQ | Chaturanga | Row 148
✅ Saved → HBQ | Chaturanga | Row 149
✅ Saved → HBQ | Buzkashi | Row 0
✅ Saved → HBQ | Buzkashi | Row 1
✅ Saved → HBQ | Buzkashi | Row 2
✅ Saved → HBQ | Buzkashi | Row 3
✅ Saved → HBQ | Buzkashi | Row 4
✅ Saved → HBQ | Buzkashi | Row 5
✅ Saved → HBQ | Buzkashi | Row 6
✅ Saved → HBQ | Buzkashi | Row 7
✅ Saved → HBQ | Buzkashi | Row 8
✅ Saved → HBQ | Buzkashi | Row 9
✅ Saved → HBQ | Buzkashi | Row 10
✅ Saved → HBQ | Buzkashi | Row 11
✅ Saved → HBQ | Buzkashi | Row 12
✅ Saved → HBQ | Buzkashi | Row 13
✅ Saved → HBQ | Buzkashi | Row 14
✅ Saved → HBQ | Buzkashi | Row 15
✅ Saved → HBQ | Buzkashi | Row 16
✅ Saved → HBQ | Buzkashi | Row 17
✅ Saved → HBQ | Buzkashi | Row 18
✅ Saved → HBQ | Buzkashi | Row 19
✅ Saved → HBQ | Buzkashi | Row 20
✅ Saved → HBQ | Buzkashi | Row 21
✅ Saved → HBQ | Buzkashi | Row 22
✅ Saved → HBQ | Buzkashi | Row 23
✅ Saved → HBQ | Buzkashi | Row 24
✅ Saved → HBQ | Buzkashi | Row 25
✅ Saved → HBQ | Buzkashi | Row 26
✅ Saved → HBQ | Buzkashi | Row 27
✅ Saved → HBQ | Buzkashi | Row 28
✅ Saved → HBQ | Buzkashi | Row 29
✅ Saved → HBQ | Buzkashi | Row 30
✅ Saved → HBQ | Buzkashi | Row 31
✅ Saved → HBQ | Buzkashi | Row 32
✅ Saved → HBQ | Buzkashi | Row 33
✅ Saved → HBQ | Buzkashi | Row 34
✅ Saved → HBQ | Buzkashi | Row 35
✅ Saved → HBQ | Buzkashi | Row 36
✅ Saved → HBQ | Buzkashi | Row 37
✅ Saved → HBQ | Buzkashi | Row 38
✅ Saved → HBQ | Buzkashi | Row 39
✅ Saved → HBQ | Buzkashi | Row 40
✅ Saved → HBQ | Buzkashi | Row 41
✅ Saved → HBQ | Buzkashi | Row 42
✅ Saved → HBQ | Buzkashi | Row 43
✅ Saved → HBQ | Buzkashi | Row 44
✅ Saved → HBQ | Buzkashi | Row 45
✅ Saved → HBQ | Buzkashi | Row 46
✅ Saved → HBQ | Buzkashi | Row 47
✅ Saved → HBQ | Buzkashi | Row 48
✅ Saved → HBQ | Buzkashi | Row 49
✅ Saved → HBQ | Buzkashi | Row 50
✅ Saved → HBQ | Buzkashi | Row 51
✅ Saved → HBQ | Buzkashi | Row 52
✅ Saved → HBQ | Buzkashi | Row 53
✅ Saved → HBQ | Buzkashi | Row 54
✅ Saved → HBQ | Buzkashi | Row 55
✅ Saved → HBQ | Buzkashi | Row 56
✅ Saved → HBQ | Buzkashi | Row 57
✅ Saved → HBQ | Buzkashi | Row 58
✅ Saved → HBQ | Buzkashi | Row 59
✅ Saved → HBQ | Buzkashi | Row 60
✅ Saved → HBQ | Buzkashi | Row 61
✅ Saved → HBQ | Buzkashi | Row 62
✅ Saved → HBQ | Buzkashi | Row 63
✅ Saved → HBQ | Buzkashi | Row 64
✅ Saved → HBQ | Buzkashi | Row 65
✅ Saved → HBQ | Buzkashi | Row 67
✅ Saved → HBQ | Buzkashi | Row 68
✅ Saved → HBQ | Buzkashi | Row 69
✅ Saved → HBQ | Buzkashi | Row 70
✅ Saved → HBQ | Buzkashi | Row 71
✅ Saved → HBQ | Buzkashi | Row 72
✅ Saved → HBQ | Buzkashi | Row 73
✅ Saved → HBQ | Buzkashi | Row 74
✅ Saved → HBQ | Buzkashi | Row 75
✅ Saved → HBQ | Buzkashi | Row 76
✅ Saved → HBQ | Buzkashi | Row 77
✅ Saved → HBQ | Buzkashi | Row 78
✅ Saved → HBQ | Buzkashi | Row 79
✅ Saved → HBQ | Buzkashi | Row 80
✅ Saved → HBQ | Buzkashi | Row 81
✅ Saved → HBQ | Buzkashi | Row 82
✅ Saved → HBQ | Buzkashi | Row 84
✅ Saved → HBQ | Buzkashi | Row 86
✅ Saved → HBQ | Buzkashi | Row 88
✅ Saved → HBQ | Buzkashi | Row 90
✅ Saved → HBQ | Buzkashi | Row 91
✅ Saved → HBQ | Buzkashi | Row 92
Failed to decode JSON from model: {
  "score": 0,
  "mistake": "The term 'آگ کی کمی' (lack of fire) is factually incorrect and illogical in the context of horse temperament. 'آگ' (fire) is not a recognized physiological or behavioral trait in horse classification. The phrase incorrectly anthropomorphizes or misuses terminology; the intended meaning is likely 'lack of speed, energy, or drive'. Additionally, 'ٹھنڈے خون والے' (cold-blooded) refers to horse breeds known for calm, steady temperaments and lower energy output, not literal temperature. The answer option uses non-standard and misleading terminology.",
  "improved_question": "ٹھنڈے خون والے" گھوڑے کی بنیادی خصوصیت کیا ہے، اور یہ بزکشی کے لیے کیوں نا مناسب ہے؟",
  "improved_options": [
    "ا) وہ جارحانہ ہیں؛ وہ بہت خطرناک ہیں",
    "ب) وہ پرسکون اور سست ہیں؛ ان میں ضروری تیزی اور توانائی کی کمی ہے",
    "ج) وہ چھوٹے ہیں؛ وہ کافی مضبوط نہیں ہیں",
    "د) وہ نایاب ہیں؛ وہ بہت مہنگے ہیں"
  ],
  "correct_answer": "ب) وہ پرسکون اور سست ہیں؛ ان میں ضروری تیزی اور توانائی کی کمی ہے"
}
✅ Saved → HBQ | Buzkashi | Row 93
✅ Saved → HBQ | Buzkashi | Row 94
✅ Saved → HBQ | Buzkashi | Row 95
✅ Saved → HBQ | Buzkashi | Row 96
✅ Saved → HBQ | Buzkashi | Row 98
✅ Saved → HBQ | Buzkashi | Row 100
✅ Saved → HBQ | Buzkashi | Row 101
✅ Saved → HBQ | Buzkashi | Row 102
✅ Saved → HBQ | Buzkashi | Row 103
✅ Saved → HBQ | Buzkashi | Row 104
✅ Saved → HBQ | Buzkashi | Row 105
✅ Saved → HBQ | Buzkashi | Row 106
✅ Saved → HBQ | Buzkashi | Row 107
✅ Saved → HBQ | Buzkashi | Row 108
✅ Saved → HBQ | Buzkashi | Row 109
✅ Saved → HBQ | Buzkashi | Row 110
✅ Saved → HBQ | Buzkashi | Row 111
✅ Saved → HBQ | Buzkashi | Row 112
✅ Saved → HBQ | Buzkashi | Row 114
✅ Saved → HBQ | Buzkashi | Row 115
✅ Saved → HBQ | Buzkashi | Row 116
✅ Saved → HBQ | Buzkashi | Row 117
✅ Saved → HBQ | Buzkashi | Row 118
✅ Saved → HBQ | Buzkashi | Row 119
✅ Saved → HBQ | Buzkashi | Row 120
✅ Saved → HBQ | Buzkashi | Row 121
✅ Saved → HBQ | Buzkashi | Row 122
✅ Saved → HBQ | Buzkashi | Row 123
✅ Saved → HBQ | Buzkashi | Row 124
✅ Saved → HBQ | Buzkashi | Row 125
✅ Saved → HBQ | Buzkashi | Row 126
✅ Saved → HBQ | Buzkashi | Row 127
✅ Saved → HBQ | Buzkashi | Row 128
✅ Saved → HBQ | Buzkashi | Row 133
✅ Saved → HBQ | Buzkashi | Row 134
✅ Saved → HBQ | Buzkashi | Row 138
✅ Saved → HBQ | Buzkashi | Row 139
✅ Saved → HBQ | Buzkashi | Row 141
✅ Saved → HBQ | Buzkashi | Row 142
✅ Saved → HBQ | Buzkashi | Row 143
✅ Saved → HBQ | Buzkashi | Row 144
✅ Saved → HBQ | Buzkashi | Row 145
✅ Saved → HBQ | Buzkashi | Row 149
✅ Saved → HBQ | Gatka | Row 0
✅ Saved → HBQ | Gatka | Row 1
✅ Saved → HBQ | Gatka | Row 2
✅ Saved → HBQ | Gatka | Row 3
✅ Saved → HBQ | Gatka | Row 4
✅ Saved → HBQ | Gatka | Row 5
✅ Saved → HBQ | Gatka | Row 6
✅ Saved → HBQ | Gatka | Row 7
✅ Saved → HBQ | Gatka | Row 8
✅ Saved → HBQ | Gatka | Row 9
✅ Saved → HBQ | Gatka | Row 10
✅ Saved → HBQ | Gatka | Row 11
✅ Saved → HBQ | Gatka | Row 12
✅ Saved → HBQ | Gatka | Row 13
✅ Saved → HBQ | Gatka | Row 14
✅ Saved → HBQ | Gatka | Row 15
✅ Saved → HBQ | Gatka | Row 16
✅ Saved → HBQ | Gatka | Row 17
✅ Saved → HBQ | Gatka | Row 18
✅ Saved → HBQ | Gatka | Row 19
✅ Saved → HBQ | Gatka | Row 20
✅ Saved → HBQ | Gatka | Row 21
✅ Saved → HBQ | Gatka | Row 22
✅ Saved → HBQ | Gatka | Row 23
✅ Saved → HBQ | Gatka | Row 24
✅ Saved → HBQ | Gatka | Row 25
✅ Saved → HBQ | Gatka | Row 26
✅ Saved → HBQ | Gatka | Row 27
✅ Saved → HBQ | Gatka | Row 28
✅ Saved → HBQ | Gatka | Row 29
✅ Saved → HBQ | Gatka | Row 30
✅ Saved → HBQ | Gatka | Row 31
✅ Saved → HBQ | Gatka | Row 32
✅ Saved → HBQ | Gatka | Row 33
✅ Saved → HBQ | Gatka | Row 34
✅ Saved → HBQ | Gatka | Row 35
✅ Saved → HBQ | Gatka | Row 36
✅ Saved → HBQ | Gatka | Row 37
✅ Saved → HBQ | Gatka | Row 38
✅ Saved → HBQ | Gatka | Row 39
✅ Saved → HBQ | Gatka | Row 40
✅ Saved → HBQ | Gatka | Row 41
✅ Saved → HBQ | Gatka | Row 42
✅ Saved → HBQ | Gatka | Row 43
✅ Saved → HBQ | Gatka | Row 44
✅ Saved → HBQ | Gatka | Row 45
✅ Saved → HBQ | Gatka | Row 46
✅ Saved → HBQ | Gatka | Row 47
✅ Saved → HBQ | Gatka | Row 48
✅ Saved → HBQ | Gatka | Row 49
✅ Saved → HBQ | Gatka | Row 50
✅ Saved → HBQ | Gatka | Row 51
✅ Saved → HBQ | Gatka | Row 52
✅ Saved → HBQ | Gatka | Row 53
✅ Saved → HBQ | Gatka | Row 54
✅ Saved → HBQ | Gatka | Row 55
✅ Saved → HBQ | Gatka | Row 56
✅ Saved → HBQ | Gatka | Row 57
✅ Saved → HBQ | Gatka | Row 58
✅ Saved → HBQ | Gatka | Row 59
✅ Saved → HBQ | Gatka | Row 60
✅ Saved → HBQ | Gatka | Row 61
✅ Saved → HBQ | Gatka | Row 62
✅ Saved → HBQ | Gatka | Row 63
✅ Saved → HBQ | Gatka | Row 64
✅ Saved → HBQ | Gatka | Row 65
✅ Saved → HBQ | Gatka | Row 66
✅ Saved → HBQ | Gatka | Row 67
✅ Saved → HBQ | Gatka | Row 68
✅ Saved → HBQ | Gatka | Row 69
✅ Saved → HBQ | Gatka | Row 70
✅ Saved → HBQ | Gatka | Row 71
✅ Saved → HBQ | Gatka | Row 72
✅ Saved → HBQ | Gatka | Row 73
✅ Saved → HBQ | Gatka | Row 74
✅ Saved → HBQ | Gatka | Row 75
✅ Saved → HBQ | Gatka | Row 76
✅ Saved → HBQ | Gatka | Row 77
✅ Saved → HBQ | Gatka | Row 78
✅ Saved → HBQ | Gatka | Row 79
✅ Saved → HBQ | Gatka | Row 80
✅ Saved → HBQ | Gatka | Row 81
✅ Saved → HBQ | Gatka | Row 82
✅ Saved → HBQ | Gatka | Row 83
✅ Saved → HBQ | Gatka | Row 84
✅ Saved → HBQ | Gatka | Row 85
✅ Saved → HBQ | Gatka | Row 86
✅ Saved → HBQ | Gatka | Row 87
✅ Saved → HBQ | Gatka | Row 88
✅ Saved → HBQ | Gatka | Row 89
✅ Saved → HBQ | Gatka | Row 90
