Started at: 10:24:08

📌 Processing: /DATA/rohan_kirti/country/indonesia/SBQ/Indonesia_SBQ.xlsx
✅ Saved → SBQ | Karapan_Sapi | Row 0
✅ Saved → SBQ | Peresean | Row 85
✅ Saved → SBQ | Peresean | Row 86
✅ Saved → SBQ | Peresean | Row 87
✅ Saved → SBQ | Peresean | Row 88
✅ Saved → SBQ | Peresean | Row 89
✅ Saved → SBQ | Peresean | Row 90
✅ Saved → SBQ | Peresean | Row 91
✅ Saved → SBQ | Peresean | Row 92
✅ Saved → SBQ | Peresean | Row 93
✅ Saved → SBQ | Peresean | Row 94
✅ Saved → SBQ | Peresean | Row 95
✅ Saved → SBQ | Peresean | Row 96
✅ Saved → SBQ | Peresean | Row 97
✅ Saved → SBQ | Peresean | Row 98
✅ Saved → SBQ | Peresean | Row 99
✅ Saved → SBQ | Peresean | Row 100
✅ Saved → SBQ | Peresean | Row 101
✅ Saved → SBQ | Peresean | Row 102
✅ Saved → SBQ | Peresean | Row 103
✅ Saved → SBQ | Peresean | Row 104
✅ Saved → SBQ | Peresean | Row 105
✅ Saved → SBQ | Peresean | Row 106
✅ Saved → SBQ | Peresean | Row 107
✅ Saved → SBQ | Peresean | Row 108
✅ Saved → SBQ | Peresean | Row 109
✅ Saved → SBQ | Peresean | Row 110
✅ Saved → SBQ | Peresean | Row 111
✅ Saved → SBQ | Peresean | Row 112
✅ Saved → SBQ | Peresean | Row 113
✅ Saved → SBQ | Peresean | Row 114
✅ Saved → SBQ | Peresean | Row 115
✅ Saved → SBQ | Peresean | Row 116
✅ Saved → SBQ | Peresean | Row 117
✅ Saved → SBQ | Peresean | Row 118
✅ Saved → SBQ | Peresean | Row 119
✅ Saved → SBQ | Peresean | Row 120
✅ Saved → SBQ | Peresean | Row 121
✅ Saved → SBQ | Peresean | Row 122
✅ Saved → SBQ | Peresean | Row 123
✅ Saved → SBQ | Peresean | Row 124
✅ Saved → SBQ | Peresean | Row 125
✅ Saved → SBQ | Peresean | Row 126
✅ Saved → SBQ | Peresean | Row 127
✅ Saved → SBQ | Peresean | Row 128
✅ Saved → SBQ | Peresean | Row 129
✅ Saved → SBQ | Peresean | Row 130
✅ Saved → SBQ | Peresean | Row 131
✅ Saved → SBQ | Peresean | Row 132
✅ Saved → SBQ | Peresean | Row 133
✅ Saved → SBQ | Peresean | Row 134
✅ Saved → SBQ | Peresean | Row 135
✅ Saved → SBQ | Peresean | Row 136
✅ Saved → SBQ | Peresean | Row 137
✅ Saved → SBQ | Peresean | Row 138
✅ Saved → SBQ | Peresean | Row 139
✅ Saved → SBQ | Peresean | Row 140
✅ Saved → SBQ | Peresean | Row 141
✅ Saved → SBQ | Peresean | Row 142
✅ Saved → SBQ | Peresean | Row 143
✅ Saved → SBQ | Peresean | Row 144
✅ Saved → SBQ | Peresean | Row 145
✅ Saved → SBQ | Peresean | Row 146
✅ Saved → SBQ | Peresean | Row 147
✅ Saved → SBQ | Peresean | Row 148
✅ Saved → SBQ | Peresean | Row 149
✅ Saved → SBQ | Peresean | Row 150
✅ Saved → SBQ | Peresean | Row 151
✅ Saved → SBQ | Peresean | Row 152
✅ Saved → SBQ | Peresean | Row 153
✅ Saved → SBQ | Peresean | Row 154
✅ Saved → SBQ | Peresean | Row 155
✅ Saved → SBQ | Peresean | Row 156
✅ Saved → SBQ | Peresean | Row 157
✅ Saved → SBQ | Peresean | Row 158
✅ Saved → SBQ | Peresean | Row 159
✅ Saved → SBQ | Peresean | Row 160
✅ Saved → SBQ | Peresean | Row 161
✅ Saved → SBQ | Peresean | Row 162
✅ Saved → SBQ | Peresean | Row 163
✅ Saved → SBQ | Peresean | Row 164
✅ Saved → SBQ | Peresean | Row 165
✅ Saved → SBQ | Peresean | Row 166
✅ Saved → SBQ | Peresean | Row 167
✅ Saved → SBQ | Peresean | Row 168
✅ Saved → SBQ | Peresean | Row 169
✅ Saved → SBQ | Peresean | Row 170
✅ Saved → SBQ | Peresean | Row 171
✅ Saved → SBQ | Peresean | Row 172
✅ Saved → SBQ | Peresean | Row 173
✅ Saved → SBQ | Peresean | Row 174
✅ Saved → SBQ | Peresean | Row 175
✅ Saved → SBQ | Peresean | Row 176
✅ Saved → SBQ | Peresean | Row 177
✅ Saved → SBQ | Peresean | Row 178
✅ Saved → SBQ | Peresean | Row 179
✅ Saved → SBQ | Peresean | Row 180
✅ Saved → SBQ | Peresean | Row 181
✅ Saved → SBQ | Peresean | Row 182
✅ Saved → SBQ | Peresean | Row 183
✅ Saved → SBQ | Peresean | Row 184
✅ Saved → SBQ | Peresean | Row 185
✅ Saved → SBQ | Peresean | Row 186
✅ Saved → SBQ | Peresean | Row 187
✅ Saved → SBQ | Peresean | Row 188
✅ Saved → SBQ | Peresean | Row 189
✅ Saved → SBQ | Sepak_Takraw | Row 0
✅ Saved → SBQ | Sepak_Takraw | Row 1
✅ Saved → SBQ | Sepak_Takraw | Row 2
✅ Saved → SBQ | Sepak_Takraw | Row 3
✅ Saved → SBQ | Sepak_Takraw | Row 4
✅ Saved → SBQ | Sepak_Takraw | Row 5
✅ Saved → SBQ | Sepak_Takraw | Row 6
✅ Saved → SBQ | Sepak_Takraw | Row 7
✅ Saved → SBQ | Sepak_Takraw | Row 8
✅ Saved → SBQ | Sepak_Takraw | Row 9
✅ Saved → SBQ | Sepak_Takraw | Row 10
✅ Saved → SBQ | Sepak_Takraw | Row 11
✅ Saved → SBQ | Sepak_Takraw | Row 12
✅ Saved → SBQ | Sepak_Takraw | Row 13
✅ Saved → SBQ | Sepak_Takraw | Row 14
✅ Saved → SBQ | Sepak_Takraw | Row 15
✅ Saved → SBQ | Sepak_Takraw | Row 16
✅ Saved → SBQ | Sepak_Takraw | Row 17
✅ Saved → SBQ | Sepak_Takraw | Row 18
✅ Saved → SBQ | Sepak_Takraw | Row 19
✅ Saved → SBQ | Sepak_Takraw | Row 20
✅ Saved → SBQ | Sepak_Takraw | Row 21
✅ Saved → SBQ | Sepak_Takraw | Row 22
✅ Saved → SBQ | Sepak_Takraw | Row 23
✅ Saved → SBQ | Sepak_Takraw | Row 24
✅ Saved → SBQ | Sepak_Takraw | Row 25
✅ Saved → SBQ | Sepak_Takraw | Row 26
✅ Saved → SBQ | Sepak_Takraw | Row 27
✅ Saved → SBQ | Sepak_Takraw | Row 28
✅ Saved → SBQ | Sepak_Takraw | Row 29
✅ Saved → SBQ | Sepak_Takraw | Row 30
✅ Saved → SBQ | Sepak_Takraw | Row 31
✅ Saved → SBQ | Sepak_Takraw | Row 32
✅ Saved → SBQ | Sepak_Takraw | Row 33
✅ Saved → SBQ | Sepak_Takraw | Row 34
✅ Saved → SBQ | Sepak_Takraw | Row 35
✅ Saved → SBQ | Sepak_Takraw | Row 36
✅ Saved → SBQ | Sepak_Takraw | Row 37
✅ Saved → SBQ | Sepak_Takraw | Row 38
✅ Saved → SBQ | Sepak_Takraw | Row 39
✅ Saved → SBQ | Sepak_Takraw | Row 40
✅ Saved → SBQ | Sepak_Takraw | Row 41
✅ Saved → SBQ | Sepak_Takraw | Row 42
✅ Saved → SBQ | Sepak_Takraw | Row 43
✅ Saved → SBQ | Sepak_Takraw | Row 44
✅ Saved → SBQ | Sepak_Takraw | Row 45
✅ Saved → SBQ | Sepak_Takraw | Row 46
✅ Saved → SBQ | Sepak_Takraw | Row 47
✅ Saved → SBQ | Sepak_Takraw | Row 48
✅ Saved → SBQ | Sepak_Takraw | Row 49
✅ Saved → SBQ | Sepak_Takraw | Row 50
✅ Saved → SBQ | Sepak_Takraw | Row 51
✅ Saved → SBQ | Sepak_Takraw | Row 52
✅ Saved → SBQ | Sepak_Takraw | Row 53
✅ Saved → SBQ | Sepak_Takraw | Row 54
✅ Saved → SBQ | Sepak_Takraw | Row 55
✅ Saved → SBQ | Sepak_Takraw | Row 56
✅ Saved → SBQ | Sepak_Takraw | Row 57
✅ Saved → SBQ | Sepak_Takraw | Row 58
✅ Saved → SBQ | Sepak_Takraw | Row 59
✅ Saved → SBQ | Sepak_Takraw | Row 60
✅ Saved → SBQ | Sepak_Takraw | Row 61
✅ Saved → SBQ | Sepak_Takraw | Row 62
✅ Saved → SBQ | Sepak_Takraw | Row 63
✅ Saved → SBQ | Sepak_Takraw | Row 64
✅ Saved → SBQ | Sepak_Takraw | Row 65
✅ Saved → SBQ | Sepak_Takraw | Row 66
✅ Saved → SBQ | Sepak_Takraw | Row 67
✅ Saved → SBQ | Sepak_Takraw | Row 68
✅ Saved → SBQ | Sepak_Takraw | Row 69
✅ Saved → SBQ | Sepak_Takraw | Row 70
✅ Saved → SBQ | Sepak_Takraw | Row 71
✅ Saved → SBQ | Sepak_Takraw | Row 72
✅ Saved → SBQ | Sepak_Takraw | Row 73
✅ Saved → SBQ | Sepak_Takraw | Row 74
✅ Saved → SBQ | Sepak_Takraw | Row 75
✅ Saved → SBQ | Sepak_Takraw | Row 76
✅ Saved → SBQ | Sepak_Takraw | Row 77
✅ Saved → SBQ | Sepak_Takraw | Row 78
✅ Saved → SBQ | Sepak_Takraw | Row 79
✅ Saved → SBQ | Sepak_Takraw | Row 80
✅ Saved → SBQ | Sepak_Takraw | Row 81
✅ Saved → SBQ | Sepak_Takraw | Row 82
✅ Saved → SBQ | Sepak_Takraw | Row 83
✅ Saved → SBQ | Sepak_Takraw | Row 84
✅ Saved → SBQ | Sepak_Takraw | Row 85
✅ Saved → SBQ | Sepak_Takraw | Row 86
✅ Saved → SBQ | Sepak_Takraw | Row 87
✅ Saved → SBQ | Sepak_Takraw | Row 88
✅ Saved → SBQ | Sepak_Takraw | Row 89
✅ Saved → SBQ | Sepak_Takraw | Row 90
✅ Saved → SBQ | Sepak_Takraw | Row 91
✅ Saved → SBQ | Sepak_Takraw | Row 92
✅ Saved → SBQ | Sepak_Takraw | Row 93
✅ Saved → SBQ | Sepak_Takraw | Row 94
✅ Saved → SBQ | Sepak_Takraw | Row 95
✅ Saved → SBQ | Sepak_Takraw | Row 96
✅ Saved → SBQ | Sepak_Takraw | Row 97
✅ Saved → SBQ | Sepak_Takraw | Row 98
✅ Saved → SBQ | Sepak_Takraw | Row 99
✅ Saved → SBQ | Sepak_Takraw | Row 100
✅ Saved → SBQ | Sepak_Takraw | Row 101
✅ Saved → SBQ | Sepak_Takraw | Row 102
✅ Saved → SBQ | Sepak_Takraw | Row 103
✅ Saved → SBQ | Sepak_Takraw | Row 104
✅ Saved → SBQ | Sepak_Takraw | Row 105
✅ Saved → SBQ | Sepak_Takraw | Row 106
✅ Saved → SBQ | Sepak_Takraw | Row 107
✅ Saved → SBQ | Sepak_Takraw | Row 108
✅ Saved → SBQ | Sepak_Takraw | Row 109
✅ Saved → SBQ | Sepak_Takraw | Row 110
✅ Saved → SBQ | Sepak_Takraw | Row 111
✅ Saved → SBQ | Sepak_Takraw | Row 112
✅ Saved → SBQ | Sepak_Takraw | Row 113
✅ Saved → SBQ | Sepak_Takraw | Row 114
✅ Saved → SBQ | Sepak_Takraw | Row 115
✅ Saved → SBQ | Sepak_Takraw | Row 116
✅ Saved → SBQ | Sepak_Takraw | Row 117
✅ Saved → SBQ | Sepak_Takraw | Row 118
✅ Saved → SBQ | Sepak_Takraw | Row 119
✅ Saved → SBQ | Sepak_Takraw | Row 120
✅ Saved → SBQ | Sepak_Takraw | Row 121
✅ Saved → SBQ | Sepak_Takraw | Row 122
✅ Saved → SBQ | Sepak_Takraw | Row 123
✅ Saved → SBQ | Sepak_Takraw | Row 124
✅ Saved → SBQ | Sepak_Takraw | Row 125
✅ Saved → SBQ | Sepak_Takraw | Row 126
✅ Saved → SBQ | Sepak_Takraw | Row 127
✅ Saved → SBQ | Sepak_Takraw | Row 128
✅ Saved → SBQ | Sepak_Takraw | Row 129
✅ Saved → SBQ | Sepak_Takraw | Row 130
✅ Saved → SBQ | Sepak_Takraw | Row 131
✅ Saved → SBQ | Sepak_Takraw | Row 132
✅ Saved → SBQ | Sepak_Takraw | Row 133
✅ Saved → SBQ | Sepak_Takraw | Row 134
✅ Saved → SBQ | Sepak_Takraw | Row 135
✅ Saved → SBQ | Sepak_Takraw | Row 136
✅ Saved → SBQ | Sepak_Takraw | Row 137
✅ Saved → SBQ | Sepak_Takraw | Row 138
✅ Saved → SBQ | Sepak_Takraw | Row 139
✅ Saved → SBQ | Sepak_Takraw | Row 140
✅ Saved → SBQ | Sepak_Takraw | Row 141
✅ Saved → SBQ | Sepak_Takraw | Row 142
✅ Saved → SBQ | Sepak_Takraw | Row 143
✅ Saved → SBQ | Sepak_Takraw | Row 144
✅ Saved → SBQ | Sepak_Takraw | Row 145
✅ Saved → SBQ | Sepak_Takraw | Row 146
✅ Saved → SBQ | Sepak_Takraw | Row 147
✅ Saved → SBQ | Sepak_Takraw | Row 148
✅ Saved → SBQ | Sepak_Takraw | Row 149
✅ Saved → SBQ | Pencak_Silat | Row 0
✅ Saved → SBQ | Pencak_Silat | Row 1
✅ Saved → SBQ | Pencak_Silat | Row 2
✅ Saved → SBQ | Pencak_Silat | Row 3
✅ Saved → SBQ | Pencak_Silat | Row 4
✅ Saved → SBQ | Pencak_Silat | Row 5
✅ Saved → SBQ | Pencak_Silat | Row 6
✅ Saved → SBQ | Pencak_Silat | Row 7
✅ Saved → SBQ | Pencak_Silat | Row 8
✅ Saved → SBQ | Pencak_Silat | Row 9
✅ Saved → SBQ | Pencak_Silat | Row 10
✅ Saved → SBQ | Pencak_Silat | Row 11
✅ Saved → SBQ | Pencak_Silat | Row 12
✅ Saved → SBQ | Pencak_Silat | Row 13
✅ Saved → SBQ | Pencak_Silat | Row 14
✅ Saved → SBQ | Pencak_Silat | Row 15
✅ Saved → SBQ | Pencak_Silat | Row 16
✅ Saved → SBQ | Pencak_Silat | Row 17
✅ Saved → SBQ | Pencak_Silat | Row 18
✅ Saved → SBQ | Pencak_Silat | Row 19
✅ Saved → SBQ | Pencak_Silat | Row 20
✅ Saved → SBQ | Pencak_Silat | Row 21
✅ Saved → SBQ | Pencak_Silat | Row 22
✅ Saved → SBQ | Pencak_Silat | Row 23
✅ Saved → SBQ | Pencak_Silat | Row 24
✅ Saved → SBQ | Pencak_Silat | Row 25
✅ Saved → SBQ | Pencak_Silat | Row 26
✅ Saved → SBQ | Pencak_Silat | Row 27
✅ Saved → SBQ | Pencak_Silat | Row 28
✅ Saved → SBQ | Pencak_Silat | Row 29
✅ Saved → SBQ | Pencak_Silat | Row 30
✅ Saved → SBQ | Pencak_Silat | Row 31
✅ Saved → SBQ | Pencak_Silat | Row 32
✅ Saved → SBQ | Pencak_Silat | Row 33
✅ Saved → SBQ | Pencak_Silat | Row 34
✅ Saved → SBQ | Pencak_Silat | Row 35
✅ Saved → SBQ | Pencak_Silat | Row 36
✅ Saved → SBQ | Pencak_Silat | Row 37
✅ Saved → SBQ | Pencak_Silat | Row 38
✅ Saved → SBQ | Pencak_Silat | Row 39
✅ Saved → SBQ | Pencak_Silat | Row 40
✅ Saved → SBQ | Pencak_Silat | Row 41
✅ Saved → SBQ | Pencak_Silat | Row 42
✅ Saved → SBQ | Pencak_Silat | Row 43
✅ Saved → SBQ | Pencak_Silat | Row 44
✅ Saved → SBQ | Pencak_Silat | Row 45
✅ Saved → SBQ | Pencak_Silat | Row 46
✅ Saved → SBQ | Pencak_Silat | Row 47
✅ Saved → SBQ | Pencak_Silat | Row 48
✅ Saved → SBQ | Pencak_Silat | Row 49
✅ Saved → SBQ | Pencak_Silat | Row 50
✅ Saved → SBQ | Pencak_Silat | Row 51
✅ Saved → SBQ | Pencak_Silat | Row 52
✅ Saved → SBQ | Pencak_Silat | Row 53
✅ Saved → SBQ | Pencak_Silat | Row 54
✅ Saved → SBQ | Pencak_Silat | Row 55
✅ Saved → SBQ | Pencak_Silat | Row 56
✅ Saved → SBQ | Pencak_Silat | Row 57
✅ Saved → SBQ | Pencak_Silat | Row 58
✅ Saved → SBQ | Pencak_Silat | Row 59
